Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
35.5481,0.011,0,4.59592e-06,674.691,88647
78.1205,0.021,1,4.60386e-06,641.224,84215
116.806,0.031,2,4.61693e-06,609.02,80001
153.676,0.041,3,4.63369e-06,578.621,75990
188.771,0.051,4,4.6559e-06,549.537,72173
221.627,0.061,5,4.68108e-06,521.607,68539
253.032,0.071,6,4.7116e-06,495.265,65100
282.426,0.081,7,4.74878e-06,469.992,61799
310.401,0.091,8,4.79203e-06,446.176,58671
336.767,0.101,9,4.83769e-06,423.42,55682
361.877,0.111,10,4.88049e-06,401.715,52858
385.841,0.121,11,4.93279e-06,381.242,50163
408.839,0.131,12,4.98373e-06,361.757,47607
429.52,0.141,13,5.03848e-06,343.381,45190
449.003,0.151,14,5.10261e-06,325.664,42885
468.272,0.161,15,5.16922e-06,308.768,40687
486.558,0.171,16,5.25366e-06,292.718,38593
503.58,0.181,17,5.32463e-06,277.468,36598
520.197,0.191,18,5.40082e-06,262.865,34691
535.747,0.201,19,5.45846e-06,248.946,32869
550.79,0.211,20,5.52553e-06,235.501,31123
564.94,0.221,21,5.61898e-06,222.759,29456
578.328,0.231,22,5.74626e-06,210.856,27893
591.1,0.241,23,5.88021e-06,199.45,26392
603.5,0.251,24,5.99568e-06,188.734,24983
615.002,0.261,25,6.19031e-06,178.48,23629
626.17,0.271,26,6.40633e-06,168.574,22326
636.461,0.281,27,6.6211e-06,159.037,21071
646.5,0.291,28,6.80043e-06,149.931,19872
656.037,0.301,29,6.98496e-06,140.971,18691
664.979,0.311,30,7.18345e-06,132.662,17598
673.679,0.321,31,7.46213e-06,124.286,16495
681.764,0.331,32,7.76449e-06,116.794,15503
689.437,0.341,33,8.15579e-06,109.584,14547
696.912,0.351,34,8.68155e-06,102.741,13646
704.257,0.361,35,9.39595e-06,96.1311,12789
710.829,0.371,36,9.99283e-06,89.7595,11950
717.175,0.381,37,1.03765e-05,84.2356,11218
723.49,0.391,38,1.08725e-05,78.7767,10500
729.685,0.401,39,1.11632e-05,73.7743,9842
735.039,0.411,40,1.18645e-05,68.9425,9206
