Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
23.5804,0.011,0,7.01052e-06,511.491,58968
50.6132,0.021,1,7.02265e-06,486.117,56020
76.4122,0.031,2,7.04116e-06,461.821,53213
100.482,0.041,3,7.06684e-06,438.48,50547
123.276,0.051,4,7.09858e-06,416.051,47996
144.714,0.061,5,7.13395e-06,394.894,45585
165.027,0.071,6,7.18041e-06,374.828,43292
184.643,0.081,7,7.23458e-06,355.748,41103
203.038,0.091,8,7.29403e-06,337.808,39031
220.305,0.101,9,7.34909e-06,320.526,37060
236.798,0.111,10,7.40584e-06,304.224,35185
252.364,0.121,11,7.47635e-06,288.68,33397
267.381,0.131,12,7.54846e-06,273.893,31698
281.392,0.141,13,7.62166e-06,259.66,30078
295.028,0.151,14,7.69455e-06,246.2,28528
307.745,0.161,15,7.77333e-06,233.567,27071
320.089,0.171,16,7.87272e-06,221.336,25662
331.648,0.181,17,8.02799e-06,209.75,24332
343.746,0.191,18,8.15395e-06,198.892,23075
354.43,0.201,19,8.26018e-06,188.467,21867
364.434,0.211,20,8.36386e-06,178.627,20739
374.064,0.221,21,8.48402e-06,169.083,19636
383.159,0.231,22,8.62661e-06,159.791,18567
391.786,0.241,23,8.95207e-06,151.13,17585
400.153,0.251,24,9.14169e-06,142.946,16632
408.215,0.261,25,9.31196e-06,134.747,15687
415.578,0.271,26,9.56502e-06,127.11,14805
422.839,0.281,27,9.76643e-06,119.67,13954
429.873,0.291,28,1.01412e-05,112.689,13135
436.333,0.301,29,1.04928e-05,106.204,12389
442.389,0.311,30,1.08192e-05,100.213,11704
448.321,0.321,31,1.13404e-05,94.443,11029
454.167,0.331,32,1.19245e-05,88.7549,10359
459.859,0.341,33,1.25606e-05,83.1631,9716
464.622,0.351,34,1.34106e-05,78.0255,9109
469.358,0.361,35,1.44217e-05,73.3122,8565
473.977,0.371,36,1.61006e-05,68.4185,7999
478.542,0.381,37,1.7027e-05,63.7495,7458
483.002,0.391,38,1.78814e-05,59.5593,6966
487.246,0.401,39,1.83513e-05,55.4819,6497
490.799,0.411,40,1.92324e-05,51.742,6069
