Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
54.4956,0.011,0,3.84546e-06,920.686,140899
127.886,0.021,1,3.85181e-06,875.067,133855
195.467,0.031,2,3.86221e-06,831.349,127158
258.963,0.041,3,3.87651e-06,789.436,120784
318.429,0.051,4,3.89516e-06,749.617,114730
374.247,0.061,5,3.91666e-06,711.838,108967
426.577,0.071,6,3.94232e-06,675.578,103475
475.225,0.081,7,3.97188e-06,641.364,98255
521.871,0.091,8,4.01072e-06,608.933,93302
565.418,0.101,9,4.05638e-06,578.01,88599
606.766,0.111,10,4.09665e-06,548.476,84092
645.188,0.121,11,4.14649e-06,520.551,79827
682.124,0.131,12,4.18474e-06,493.785,75730
716.89,0.141,13,4.22429e-06,468.364,71863
750.114,0.151,14,4.27431e-06,444.141,68160
780.719,0.161,15,4.3209e-06,421.238,64672
809.969,0.171,16,4.36722e-06,399.319,61327
837.373,0.181,17,4.42125e-06,378.46,58141
863.506,0.191,18,4.48735e-06,358.774,55116
888.15,0.201,19,4.54703e-06,339.984,52264
912.065,0.211,20,4.61308e-06,322.089,49535
934.513,0.221,21,4.68403e-06,305.079,46931
955.868,0.231,22,4.77453e-06,288.769,44440
976.203,0.241,23,4.89041e-06,272.953,42039
995.127,0.251,24,5.00919e-06,258.222,39781
1013.54,0.261,25,5.12494e-06,244.053,37607
1031,0.271,26,5.28709e-06,230.465,35525
1047.25,0.281,27,5.39411e-06,217.294,33509
1063.08,0.291,28,5.52537e-06,204.724,31579
1077.89,0.301,29,5.65192e-06,193.059,29798
