Time,Iteration,Deflection,Total Weight,Bar Number
0.0105,0,7.88915e-05,1034.56,125579
0.0205,1,6.63326e-05,981.407,119301
0.0305,2,1.0502e-05,931.841,113334
0.0405,3,2.67375e-05,885.027,107668
0.0505,4,7.6461e-05,840.51,102281
0.0605,5,6.61301e-05,798.081,97163
0.0705,6,2.46737e-05,757.324,92303
0.0805,7,6.48207e-06,718.792,87686
0.0905,8,1.58642e-05,682.25,83300
0.1005,9,1.88353e-05,647.553,79127
0.1105,10,2.08179e-05,614.695,75166
0.1205,11,2.05702e-05,583.555,71404
0.1305,12,1.6711e-05,553.359,67827
0.1405,13,5.05414e-06,524.811,64432
0.1505,14,1.68043e-05,497.661,61211
0.1605,15,4.00865e-05,471.775,58151
0.1705,16,4.016e-05,447.35,55242
0.1805,17,7.20736e-06,423.953,52480
0.1905,18,2.33522e-05,401.815,49852
0.2005,19,5.60367e-06,380.814,47354
0.2105,20,3.79704e-05,361.024,44981
0.2205,21,9.05714e-06,342.453,42727
0.2305,22,1.40249e-05,324.614,40583
0.2405,23,3.51608e-05,307.652,38540
0.2505,24,2.26524e-05,291.643,36593
0.2605,25,1.85954e-05,276.145,34743
0.2705,26,1.67668e-05,261.264,32986
0.2805,27,1.59897e-05,247.064,31301
0.2905,28,1.25981e-05,233.598,29710
0.3005,29,7.84132e-06,220.826,28188
0.3105,30,1.12337e-05,208.802,26754
0.3205,31,1.46488e-05,197.442,25367
0.3305,32,1.39231e-05,186.844,24044
0.3405,33,1.38324e-05,176.52,22738
0.3505,34,8.09903e-06,166.599,21501
0.3605,35,4.93743e-06,156.9,20283
0.3705,36,6.17163e-06,147.699,19123
0.3805,37,6.07907e-06,139.002,18015
0.3905,38,1.08388e-05,130.598,16950
0.4005,39,1.27061e-05,122.417,15908
0.4105,40,2.17805e-05,114.716,14929
0.4205,41,3.65842e-05,107.518,14018
0.4305,42,3.6605e-05,100.502,13132
0.4405,43,3.62247e-05,93.513,12259
0.4505,44,6.45704e-05,87.1471,11438
0.4605,45,7.95487e-05,81.0452,10639
0.4705,46,0.000138093,74.8433,9837
0.4805,47,0.00018958,68.5785,9009
0.4905,48,0.000354327,62.4741,8214
0.5005,49,0.00046976,56.4803,7441
