Time,Iteration,Deflection,Total Weight,Bar Number
0.038577,0,0.00016085,447.984,52228
0.076653,1,7.05084e-06,433.836,50662
0.114729,2,0.000145014,420.132,49143
0.152805,3,8.5314e-05,407.114,47669
0.190881,4,7.24793e-06,394.735,46239
0.228957,5,2.40502e-05,382.748,44852
0.267033,6,4.5039e-05,371.127,43507
0.305109,7,2.70768e-05,360.069,42202
0.343185,8,5.67591e-06,349.052,40936
0.381261,9,7.04773e-05,338.51,39708
0.419337,10,0.000136154,328.242,38517
0.457413,11,5.48989e-06,318.21,37361
0.495489,12,0.000139553,308.387,36241
0.533565,13,2.33811e-05,298.932,35154
0.571641,14,3.14958e-05,289.727,34099
0.609717,15,0.000107112,280.716,33074
0.647793,16,0.000129921,272.187,32082
0.685869,17,0.000133079,263.762,31120
0.723945,18,0.000107953,255.533,30185
0.762021,19,3.2203e-05,247.49,29280
0.800097,20,2.23575e-05,239.658,28396
0.838173,21,0.000132357,232.144,27545
0.876249,22,4.03382e-06,224.897,26717
0.914325,23,0.000109038,217.728,25913
0.952401,24,9.97923e-05,210.88,25134
0.990477,25,2.29394e-05,204.244,24380
1.02855,26,3.36153e-06,197.758,23647
1.06663,27,4.70571e-06,191.511,22936
1.1047,28,5.77508e-06,185.516,22246
1.14278,29,4.41739e-05,179.704,21577
1.18086,30,0.000124306,174.175,20930
1.21893,31,6.24587e-05,168.93,20303
1.25701,32,3.25812e-05,163.714,19693
1.29508,33,0.000106854,158.658,19101
1.33316,34,5.06565e-05,153.727,18526
1.37124,35,3.76991e-05,148.907,17971
1.40931,36,0.000125109,144.238,17429
1.44739,37,9.61987e-05,139.744,16901
1.48546,38,4.1734e-05,135.343,16390
1.52354,39,2.02262e-05,131.035,15893
1.56162,40,1.71283e-05,126.796,15411
1.59969,41,2.20959e-05,122.794,14937
1.63777,42,5.46483e-05,118.933,14481
1.67584,43,0.000110261,115.147,14026
1.71392,44,0.000124329,111.546,13593
1.752,45,5.18438e-05,107.922,13169
1.79007,46,2.53216e-05,104.426,12761
1.82815,47,9.3451e-05,101.151,12372
1.86622,48,0.000129323,97.8203,11974
1.9043,49,7.33582e-05,94.6635,11603
1.94238,50,3.44411e-05,91.4721,11239
1.98045,51,4.06677e-05,88.4002,10884
2.01853,52,7.06742e-05,85.6375,10551
2.0566,53,7.9772e-05,82.7719,10205
2.09468,54,6.60093e-05,80.086,9881
2.13276,55,5.66882e-05,77.3958,9560
2.17083,56,6.99033e-05,74.853,9250
2.20891,57,0.000124447,72.3471,8950
2.24699,58,9.46436e-05,69.8244,8650
2.28506,59,0.000116195,67.5378,8371
2.32314,60,0.000105651,65.188,8088
2.36121,61,0.000115608,62.9812,7826
2.39929,62,0.000116294,60.6811,7549
2.43737,63,0.000125005,58.3898,7270
2.47544,64,0.000136275,56.1481,6993
2.51352,65,0.000161066,54.0434,6728
2.55159,66,0.000166708,51.9814,6474
2.58967,67,0.000187102,49.7923,6212
2.62775,68,0.00021259,47.3812,5915
2.66582,69,0.000226111,45.3476,5655
