Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
24.8268,0.0255,0,0.000219988,305.161,23631
49.2779,0.0505,1,0.000219196,289.024,22450
71.4996,0.0755,2,0.000218031,275,21328
93.006,0.1005,3,0.000217056,261.474,20261
114.175,0.1255,4,0.000216242,247.893,19246
133.259,0.1505,5,0.000215608,235.156,18283
152.052,0.1755,6,0.000215084,223.177,17364
170.54,0.2005,7,0.000214708,211.937,16494
188.159,0.2255,8,0.000214499,201.333,15668
204.071,0.2505,9,0.000214464,191.134,14884
219.8,0.2755,10,0.000214633,181.563,14139
235.243,0.3005,11,0.000214959,172.389,13426
250.353,0.3255,12,0.000215793,163.769,12751
263.425,0.3505,13,0.000216684,155.423,12112
297.233,0.3775,14,0.000186008,205.101,15988
314.015,0.4025,15,0.000214055,193.411,15189
330.388,0.4275,16,0.000213596,183.607,14424
346.46,0.4525,17,0.000213418,174.735,13699
362.293,0.4775,18,0.000213733,165.901,13001
376.508,0.5025,19,0.000214328,157.514,12346
410.675,0.5295,20,0.00017961,210.026,16463
428.799,0.5545,21,0.000209377,197.878,15640
445.862,0.5795,22,0.00020884,187.775,14858
462.554,0.6045,23,0.000208653,178.647,14114
479.009,0.6295,24,0.00020896,169.765,13405
494.906,0.6545,25,0.000209723,161.069,12721
508.499,0.6795,26,0.000211043,152.619,12069
543.635,0.7065,27,0.000171852,216.401,17035
563.127,0.7315,28,0.000196068,204.145,16184
580.814,0.7565,29,0.000195687,193.463,15373
597.71,0.7815,30,0.000195503,183.973,14604
614.369,0.8065,31,0.000195757,175.092,13870
630.593,0.8315,32,0.000196526,166.342,13172
645.359,0.8565,33,0.000198696,157.603,12489
665.545,0.8815,34,0.000199954,149.482,11856
730.295,0.9085,35,0.000166166,212.826,16808
780.286,0.9335,36,0.000180323,200.829,15968
830.246,0.9585,37,0.00017999,190.5,15167
880.242,0.9835,38,0.000180268,181.3,14402
930.228,1.0085,39,0.000181046,172.071,13678
980.222,1.0335,40,0.000182339,163.603,12985
1030.19,1.0585,41,0.000184896,155.088,12316
1095.4,1.0855,42,0.00014635,223.286,17644
1145.39,1.1105,43,0.000171012,210.386,16762
1195.37,1.1355,44,0.000170831,199.312,15919
1245.34,1.1605,45,0.000170806,189.854,15123
1295.33,1.1855,46,0.000171345,180.181,14352
1345.32,1.2105,47,0.000172165,171.166,13629
1395.32,1.2355,48,0.000174825,162.458,12937
1445.27,1.2605,49,0.000177082,154.166,12272
1510.73,1.2875,50,0.000135852,229.599,18157
1560.72,1.3125,51,0.000153659,216.233,17250
1610.72,1.3375,52,0.00015351,204.975,16386
1660.69,1.3625,53,0.000153667,194.861,15554
1710.66,1.3875,54,0.000153995,185.019,14773
1760.65,1.4125,55,0.000155003,175.889,14026
1810.65,1.4375,56,0.0001564,167.01,13316
1860.64,1.4625,57,0.000159407,158.358,12629
1910.6,1.4875,58,0.000161541,149.872,11979
1975.83,1.5145,59,0.000128087,224.7,17857
2025.82,1.5395,60,0.000140533,211.822,16965
2075.82,1.5645,61,0.000140342,201.047,16117
2125.78,1.5895,62,0.000140587,191.195,15308
2175.77,1.6145,63,0.000141388,181.32,14524
2225.76,1.6395,64,0.000142188,172.142,13790
2275.76,1.6645,65,0.000145326,163.199,13085
2325.72,1.6895,66,0.000147955,154.752,12408
2392.06,1.7165,67,0.000121163,234.114,18620
2442.05,1.7415,68,0.000134077,220.305,17689
2492.03,1.7665,69,0.000133873,208.645,16803
2542.03,1.7915,70,0.000133895,198.627,15962
2591.98,1.8165,71,0.000134733,188.775,15163
2639.38,1.8415,72,0.000135503,179.436,14405
2656.16,1.8665,73,0.000137858,170.276,13678
2672.72,1.8915,74,0.000139517,161.913,12988
2687.71,1.9165,75,0.00014912,153.271,12305
2726.47,1.9435,76,0.000121166,234.375,18682
2747.65,1.9685,77,0.000129782,221.15,17748
2768.4,1.9935,78,0.000129602,209.687,16857
2788.3,2.0185,79,0.000130113,199.803,16011
2806.33,2.0435,80,0.0001305,189.642,15203
2824.16,2.0685,81,0.000131556,180.387,14441
2841.23,2.0935,82,0.000133152,170.968,13693
2857.8,2.1185,83,0.000135613,162.037,12989
2872.74,2.1435,84,0.000139476,153.347,12313
2912.01,2.1705,85,0.000111725,235.534,18751
2933.57,2.1955,86,0.000118777,221.851,17814
2954.97,2.2205,87,0.000118552,210.325,16924
2974.73,2.2455,88,0.000118635,200.311,16078
2992.85,2.2705,89,0.000119123,190.363,15273
3010.87,2.2955,90,0.000119769,180.906,14506
3028.47,2.3205,91,0.000121499,171.571,13764
3045.13,2.3455,92,0.000123482,162.845,13061
3060.11,2.3705,93,0.000126777,154.251,12391
3100.64,2.3975,94,9.17087e-05,241.536,19210
3122.24,2.4225,95,9.72246e-05,227.349,18250
3143.43,2.4475,96,9.6376e-05,215.269,17318
