Time,Iteration,Deflection,Total Weight,Bar Number
0.051,0,3.02065e-06,781.867,89928
0.101,1,4.04463e-06,702.767,80936
0.151,2,1.59072e-06,630.719,72843
0.201,3,3.9562e-06,566.109,65559
0.251,4,2.4291e-06,507.858,59004
0.301,5,3.43429e-06,455.413,53104
0.351,6,1.36318e-06,408.056,47794
0.401,7,2.2006e-05,521.22,61031
0.451,8,5.62591e-05,455.674,54928
0.501,9,1.98945e-05,398.021,49436
0.551,10,3.43269e-05,532.116,65781
0.601,11,3.53048e-05,463.296,59203
0.651,12,3.54904e-05,404.088,53283
0.701,13,1.89907e-05,352.991,47955
0.751,14,3.49799e-05,530.621,68821
0.801,15,4.13328e-05,458.397,61939
0.851,16,6.31757e-05,398.049,55744
0.901,17,4.75855e-05,347.387,50167
0.951,18,5.21848e-05,303.902,45149
1.001,19,4.41466e-05,541.467,72401
1.051,20,7.92742e-05,465.287,65161
1.101,21,5.86928e-05,400.982,58645
1.151,22,6.46552e-05,347.728,52778
1.201,23,5.6346e-05,303.25,47498
1.251,24,5.61843e-05,588.508,80066
1.301,25,5.85284e-05,503.467,72060
1.351,26,5.79135e-05,431.402,64854
1.401,27,5.23131e-05,372,58369
1.451,28,0.000111544,323.115,52530
1.501,29,0.000120669,281.787,47239
1.551,30,7.98836e-05,644.035,88404
1.601,31,0.000107364,549.911,79564
1.651,32,6.2197e-05,469.42,71608
1.701,33,6.66082e-05,401.914,64448
1.751,34,0.000112477,345.918,58004
1.801,35,8.72604e-05,299.815,52185
1.851,36,0.000166783,260.823,46799
1.901,37,7.6335e-05,703.303,96987
1.951,38,0.000194779,600.062,87279
2.001,39,0.000151191,511.361,78541
2.051,40,0.00014137,436.121,70687
2.101,41,0.00013597,372.806,63619
2.151,42,9.49162e-05,320.355,57254
2.201,43,0.000186276,276.753,51471
2.251,44,0.000132087,239.965,46029
2.301,45,7.94885e-05,783.737,107500
2.351,46,9.31445e-05,668.857,96725
2.401,47,9.85771e-05,569.395,87038
2.451,48,9.75232e-05,484.359,78331
2.501,49,0.000104482,412.22,70493
2.551,50,0.000104027,351.436,63444
